neighborhood,address,unit,zip_code,bedrooms,bathrooms,half_baths,price,net_effective_price,building_type,sqft,furnished,no_fee,lease_months,months_free,available_date,date_listed,url
Hoboken,77 Park Avenue,0911,07030,2,2,0,4354,0,RENTAL,989,f,t,,0.00,2025-05-05,2025-03-01,https://streeteasy.com/building/77-park-avenue/0911
Chelsea,250 West 19th Street,15M,10011,1,1,0,5800,0,RENTAL,0,f,t,,0.00,2025-04-07,2025-03-01,https://streeteasy.com/building/the-grove-250-west-19-street-new_york/15m
Hoboken,1130 Grand Street,A511,07030,2,2,0,4413,0,RENTAL,1000,f,t,,0.00,2025-05-15,2025-03-01,https://streeteasy.com/building/the-rivington/a511
Elmhurst,94-29 55th Avenue,2ND FLR,11373,1,1,0,2200,0,TWOFAMILY,625,f,f,,0.00,2025-02-28,2025-03-01,https://streeteasy.com/building/94_29-55-avenue-elmhurst/2nd-flr
West New York,Four Avenue,4102,07093,1,1,0,3369,0,RENTAL,823,f,t,,0.00,2025-05-15,2025-03-01,https://streeteasy.com/building/the-landings-at-port-imperial/4102
Paulus Hook,70 Greene Street,1409,07302,1,1,0,3396,0,RENTAL,592,f,t,,0.00,2025-03-06,2025-03-01,https://streeteasy.com/building/70-greene/1409
Downtown Brooklyn,111 Lawrence Street,49E,11201,2,2,0,6652,0,RENTAL,1132,f,t,,0.00,2025-03-12,2025-03-01,https://streeteasy.com/building/the-brooklyner/49e
Flatbush,2825 Snyder Avenue,4B,11226,4,2,0,3400,3117,RENTAL,0,f,t,12,1.00,2025-03-01,2025-03-01,https://streeteasy.com/building/2825-snyder-avenue-brooklyn/4b
Hoboken,77 Park Avenue,1609,07030,0,1,0,3171,0,RENTAL,658,f,t,,0.00,2025-03-05,2025-03-01,https://streeteasy.com/building/77-park-avenue/1609
East Harlem,1990 Lexington Avenue,18H,10035,3,1,0,3950,3646,RENTAL,0,f,t,13,1.00,2025-02-28,2025-03-01,https://streeteasy.com/building/the-miles-at-1990-lexington-avenue/18h
Astoria,34-46 Vernon Boulevard,E417,11106,1,1,0,3389,3107,RENTAL,600,f,f,12,1.00,2025-02-28,2025-03-01,https://streeteasy.com/building/vordonia-towers/e417
Spuyten Duyvil,3640 Johnson Avenue,3F,10463,2,2,0,2795,0,RENTAL,0,f,f,,0.00,2025-02-27,2025-03-01,https://streeteasy.com/building/3640-johnson-avenue-bronx/3f
Newport,35 River Drive South,707,07310,1,1,0,3230,0,RENTAL,738,f,t,,0.00,2025-05-09,2025-03-01,https://streeteasy.com/building/waterside-square-south-at-newport/707
Newport,30 River Court,2314,07310,0,1,0,2990,0,RENTAL,564,f,t,,0.00,2025-04-07,2025-03-01,https://streeteasy.com/building/east-hampton-at-newport/2314
Hell's Kitchen,606 West 42nd Street,0707,10036,0,1,0,3330,3108,RENTAL,0,f,t,15,1.00,2025-03-09,2025-03-01,https://streeteasy.com/building/silver-suites/0707
Hell's Kitchen,620 West 42nd Street,N40H,10036,2,2,0,6390,0,RENTAL,0,f,t,,0.00,2025-03-04,2025-03-01,https://streeteasy.com/building/silver-towers/n40h
Hell's Kitchen,650 West 42nd Street,2711,10036,1,1,0,4690,0,RENTAL,0,f,t,,0.00,2025-03-07,2025-03-01,https://streeteasy.com/building/river-place/2711
Greenpoint,188 Nassau Avenue,2R,11222,1,1,0,3200,0,MIXED_USE,0,f,f,,0.00,2025-03-01,2025-03-01,https://streeteasy.com/building/188-nassau-avenue-brooklyn/2r
Windsor Terrace,625 Caton Avenue,3E,11218,1,1,0,3295,0,CO_OP,1100,f,f,,0.00,2025-04-01,2025-03-01,https://streeteasy.com/building/625-caton-avenue-brooklyn/3e
Yorkville,226 East 89th Street,7,10128,0,1,0,2800,0,RENTAL,500,f,f,,0.00,2025-02-28,2025-03-01,https://streeteasy.com/building/226-east-89-street-new_york/7
Fordham,2718 Morris Avenue,4A,10468,2,1,0,1869,0,RENTAL,0,f,f,,0.00,2025-02-28,2025-03-01,https://streeteasy.com/building/2718-morris-avenue-bronx/4a
Windsor Terrace,582 17th Street,1R,11218,1,1,0,3000,0,FOURFAMILY,0,f,f,,0.00,2025-04-01,2025-03-01,https://streeteasy.com/building/582-17-street-brooklyn/1r
Prospect Lefferts Gardens,611 Flatbush Avenue,2B,11225,0,1,0,1999,0,RENTAL,0,f,f,,0.00,2025-02-28,2025-03-01,https://streeteasy.com/building/611-flatbush-avenue-brooklyn/2b
Two Bridges,275 South Street,15L,10002,3,1,0,5875,0,RENTAL,925,f,t,,0.00,2025-02-28,2025-03-01,https://streeteasy.com/building/275-south-street-new_york/15l
Hoboken,689 Luis M Marin Boulevard,601,07302,1,1,0,2450,0,UNKNOWN,729,f,f,,0.00,2025-02-28,2025-03-01,https://streeteasy.com/building/689-luis-m-marin-boulevard-jersey_city/601
Sunset Park,5102 Fifth Avenue,202A,11220,3,1,0,3999,3691,MIXED_USE,0,f,t,13,1.00,2025-02-28,2025-03-01,https://streeteasy.com/building/5102-5-avenue-brooklyn/202a
Two Bridges,275 South Street,10M,10002,1,1,0,4525,0,RENTAL,0,f,t,,0.00,2025-02-28,2025-03-01,https://streeteasy.com/building/275-south-street-new_york/10m
Greenwich Village,93 MacDougal Street,4,10012,1,1,0,4150,0,CONDO,0,f,f,,0.00,2025-03-24,2025-03-01,https://streeteasy.com/building/91-macdougal-street-new_york/4
Woodside,72-30 45th Avenue,411,11377,1,1,0,2700,0,THREEFAMILY,0,f,t,,0.00,2025-03-05,2025-03-01,https://streeteasy.com/building/72_30-45-avenue-woodside/411
Lincoln Square,175 West 60th Street,7C,10023,2,2,0,8437,0,RENTAL,0,f,t,,0.00,2025-03-15,2025-03-01,https://streeteasy.com/building/the-encore/7c
Battery Park City,355 South End Avenue,10E,10280,1,1,0,4588,0,RENTAL,785,f,t,,0.00,2025-03-15,2025-03-01,https://streeteasy.com/building/355-south-end-avenue-new_york/10e
Central Harlem,434 Lenox Avenue,4,10037,2,1,0,2999,0,MIXED_USE,0,f,f,,0.00,2025-02-28,2025-03-01,https://streeteasy.com/building/434-lenox-avenue-new_york/4
Upper West Side,255 West 92nd Street,5C,10025,2,1,0,6300,0,CONDO,0,f,f,,0.00,2025-04-01,2025-03-01,https://streeteasy.com/building/255-west-92-street-new_york/5c
Astoria,30-16 32nd Street,2A,11102,2,1,0,2699,0,THREEFAMILY,900,f,f,,0.00,2025-02-28,2025-03-01,https://streeteasy.com/building/30_16-32-street-astoria/2a
Edgewater,798 Undercliff Avenue,GROUND FLOOR,07020,1,1,0,1900,0,HOUSE,0,f,f,,0.00,2025-02-28,2025-03-01,https://streeteasy.com/building/798-undercliff-avenue-edgewater/ground-floor
Murray Hill,128 East 36th Street,3,10016,1,1,0,3750,0,MIXED_USE,0,f,f,,0.00,2025-03-15,2025-03-01,https://streeteasy.com/building/128-east-36-street-new_york/3
Turtle Bay,135 East 47th Street,4E,10017,2,2,0,7600,0,CONDO,826,f,t,,0.00,2025-02-19,2025-03-01,https://streeteasy.com/building/monogram-new-york/4e
Bayonne,13 West 13th Street,2,07002,2,1,0,2800,0,HOUSE,900,f,f,,0.00,2025-02-28,2025-03-01,https://streeteasy.com/building/13-west-13-street-bayonne/2
Financial District,15 William Street,14B,10005,1,1,0,4999,0,CONDO,0,f,t,,0.00,2025-03-01,2025-03-01,https://streeteasy.com/building/15-william-street-new_york/14b
Ditmars-Steinway,21-62 Crescent Street,A8,11105,2,1,0,3100,0,RENTAL,0,f,f,,0.00,2025-02-28,2025-03-01,https://streeteasy.com/building/21_58-crescent-street-astoria/a8
Ditmars-Steinway,23-68 36th Street,2A,11105,1,1,0,1990,0,TWOFAMILY,0,f,f,,0.00,2025-02-28,2025-03-01,https://streeteasy.com/building/23_68-36-street-astoria/2a
Park Slope,439 Ninth Street,3-B,11215,1,1,0,3400,0,MIXED_USE,0,f,f,,0.00,2025-03-01,2025-03-01,https://streeteasy.com/building/439-9-street-brooklyn/3b
Jamaica,152-09 88th Avenue,543,11432,1,1,0,2600,0,RENTAL,0,f,t,,0.00,2025-02-28,2025-03-01,https://streeteasy.com/building/park-hill-city-phase-i/543
Jamaica,152-09 88th Avenue,801,11432,3,3,0,3800,0,RENTAL,0,f,t,,0.00,2025-02-28,2025-03-01,https://streeteasy.com/building/park-hill-city-phase-i/801
Jamaica,152-09 88th Avenue,1106,11432,2,2,0,3400,0,RENTAL,0,f,t,,0.00,2025-02-28,2025-03-01,https://streeteasy.com/building/park-hill-city-phase-i/1106
Jamaica,152-09 88th Avenue,159,11432,0,1,0,2150,0,RENTAL,0,f,t,,0.00,2025-02-28,2025-03-01,https://streeteasy.com/building/park-hill-city-phase-i/159
McGinley Square,55 Orchard Street,3407,07306,3,2,0,4999,0,RENTAL,0,f,f,,0.00,2025-02-28,2025-03-01,https://streeteasy.com/building/orchard-55-orchard-street-jersey_city/3407
McGinley Square,55 Orchard Street,6032,07306,2,2,0,3950,0,RENTAL,0,f,f,,0.00,2025-02-28,2025-03-01,https://streeteasy.com/building/orchard-55-orchard-street-jersey_city/6032
McGinley Square,55 Orchard Street,3251,07306,2,2,0,4050,0,RENTAL,0,f,f,,0.00,2025-02-28,2025-03-01,https://streeteasy.com/building/orchard-55-orchard-street-jersey_city/3251
McGinley Square,55 Orchard Street,2803,07306,2,2,0,3650,0,RENTAL,0,f,f,,0.00,2025-02-28,2025-03-01,https://streeteasy.com/building/orchard-55-orchard-street-jersey_city/2803
McGinley Square,55 Orchard Street,1041,07306,2,1,0,3150,0,RENTAL,0,f,f,,0.00,2025-02-28,2025-03-01,https://streeteasy.com/building/orchard-55-orchard-street-jersey_city/1041
McGinley Square,55 Orchard Street,6052,07306,1,1,0,2900,0,RENTAL,0,f,f,,0.00,2025-02-28,2025-03-01,https://streeteasy.com/building/orchard-55-orchard-street-jersey_city/6052
McGinley Square,55 Orchard Street,6150,07306,1,1,0,2750,0,RENTAL,0,f,f,,0.00,2025-02-28,2025-03-01,https://streeteasy.com/building/orchard-55-orchard-street-jersey_city/6150
McGinley Square,55 Orchard Street,7020,07306,1,1,0,2600,0,RENTAL,0,f,f,,0.00,2025-02-28,2025-03-01,https://streeteasy.com/building/orchard-55-orchard-street-jersey_city/7020
McGinley Square,55 Orchard Street,1214,07306,1,1,0,2500,0,RENTAL,0,f,f,,0.00,2025-02-28,2025-03-01,https://streeteasy.com/building/orchard-55-orchard-street-jersey_city/1214
McGinley Square,55 Orchard Street,421,07306,0,1,0,2350,0,RENTAL,0,f,f,,0.00,2025-02-28,2025-03-01,https://streeteasy.com/building/orchard-55-orchard-street-jersey_city/421
McGinley Square,55 Orchard Street,2070,07306,0,1,0,2300,0,RENTAL,0,f,f,,0.00,2025-02-28,2025-03-01,https://streeteasy.com/building/orchard-55-orchard-street-jersey_city/2070
McGinley Square,55 Orchard Street,5100,07306,0,1,0,2250,0,RENTAL,0,f,f,,0.00,2025-02-28,2025-03-01,https://streeteasy.com/building/orchard-55-orchard-street-jersey_city/5100
Bedford-Stuyvesant,359 Franklin Avenue,2,11238,1,1,0,2600,0,THREEFAMILY,0,f,f,,0.00,2025-02-28,2025-03-01,https://streeteasy.com/building/359-franklin-avenue-brooklyn/2
Astoria,30-16 32nd Street,2,11102,2,1,0,2700,0,THREEFAMILY,0,f,f,,0.00,2025-03-01,2025-03-01,https://streeteasy.com/building/30_16-32-street-astoria/2
Clinton Hill,144 Clinton Avenue,2,11205,1,1,0,3400,0,FOURFAMILY,1000,f,f,,0.00,2025-02-28,2025-03-01,https://streeteasy.com/building/144-clinton-avenue-brooklyn/2
Bath Beach,2137 Cropsey Avenue,2A,11214,1,1,0,1850,0,RENTAL,700,f,f,,0.00,2025-02-28,2025-03-01,https://streeteasy.com/building/2137-cropsey-avenue-brooklyn/2a
Bushwick,185 Schaefer Street,2C,11207,1,2,0,3400,3173,CONDO,0,f,t,15,1.00,2025-03-01,2025-03-01,https://streeteasy.com/building/185-schaefer-street-brooklyn/2c
Astoria,32-24 30th Street,3,11106,3,1,0,3300,0,TWOFAMILY,1100,f,t,,0.00,2025-02-28,2025-03-01,https://streeteasy.com/building/32_24-30-street-astoria/3
Gravesend,235 Bay 34th Street,3C,11214,2,2,0,2800,0,CONDO,1150,f,f,,0.00,2025-02-28,2025-03-01,https://streeteasy.com/building/235-bay-34-street-brooklyn/3c
Hoboken,1037 Park Avenue,3,07030,3,1,0,5500,0,CONDO,1121,f,f,,0.00,2025-02-28,2025-03-01,https://streeteasy.com/building/1037-park-avenue-hoboken/3
Bensonhurst,1738 78th Street,2A,11214,2,1,0,2350,0,FOURFAMILY,880,f,f,,0.00,2025-02-28,2025-03-01,https://streeteasy.com/building/1738-78-street-brooklyn/2a
Park Slope,1504 8th Avenue,2A,11215,2,1,0,3900,0,RENTAL,0,f,f,,0.00,2025-04-01,2025-03-01,https://streeteasy.com/building/1504-8-avenue-brooklyn/2a
Upper West Side,160 West 73rd Street,14B,10023,1,1,0,4900,0,RENTAL,0,f,f,,0.00,2025-02-28,2025-03-01,https://streeteasy.com/building/160-west-73-street-new_york/14b
Flushing,131-19 Fowler Avenue,7A,11355,1,1,0,2500,0,CONDO,598,f,f,,0.00,2025-02-28,2025-03-01,https://streeteasy.com/building/fowler-park/7a
Bedford-Stuyvesant,72 Herkimer Street,1F,11216,1,1,0,2550,0,RENTAL,0,f,f,,0.00,2025-02-28,2025-03-01,https://streeteasy.com/building/72-herkimer-street-brooklyn/1f
Bushwick,185 Schaefer Street,1A,11207,1,1,1,3500,3267,CONDO,0,f,t,15,1.00,2025-03-01,2025-03-01,https://streeteasy.com/building/185-schaefer-street-brooklyn/1a
Midtown,100 East 53rd Street,42A,10022,2,2,1,15500,0,CONDO,1638,f,f,,0.00,2025-04-07,2025-03-01,https://streeteasy.com/building/selene-condominium/42a
Lenox Hill,1446 First Avenue,14B,10021,2,2,0,4200,0,MIXED_USE,0,f,f,,0.00,2025-04-01,2025-03-01,https://streeteasy.com/building/1446-1-avenue-new_york/14b
Downtown Brooklyn,81 Fleet Place,8R,11201,0,1,0,3469,0,RENTAL,479,f,t,,0.00,2025-04-10,2025-03-01,https://streeteasy.com/building/the-giovanni/8r
Fort Greene,14 Willoughby Avenue,3,11205,1,1,0,2700,0,FOURFAMILY,0,f,f,,0.00,2025-02-28,2025-03-01,https://streeteasy.com/building/14-willoughby-avenue-brooklyn/3
McGinley Square,2761 Kennedy Boulevard,,07306,0,1,0,5000,0,UNKNOWN,1000,f,f,,0.00,2025-02-28,2025-03-01,https://streeteasy.com/rental/4668599
Prospect Lefferts Gardens,635 Flatbush Avenue,2,11225,0,1,0,1770,0,RENTAL,0,f,f,,0.00,2025-03-01,2025-03-01,https://streeteasy.com/building/635-flatbush-avenue-brooklyn/2
Brighton Beach,2926 Brighton 5th Street,A,11235,5,2,1,4200,0,CONDO,1700,f,f,,0.00,2025-03-01,2025-03-01,https://streeteasy.com/building/2926-brighton-5-street-brooklyn/a
Rego Park,63-68 Austin Street,7J,11374,1,1,0,2750,0,RENTAL,730,f,f,,0.00,2025-02-28,2025-03-01,https://streeteasy.com/building/rego-park-tower/7j
Kips Bay,208 East 34th Street,5B,10016,1,1,0,3000,0,RENTAL,0,f,f,,0.00,2025-04-01,2025-03-01,https://streeteasy.com/building/208-east-34-street-new_york/5b
West Side,50 Dey Street,360,07306,1,2,0,3200,0,CONDO,1048,f,f,,0.00,2025-03-01,2025-03-01,https://streeteasy.com/building/canco-lofts/360
Richmond Hill,114-08 89th Avenue,3,11418,3,1,0,2800,0,TWOFAMILY,0,f,f,,0.00,2025-03-01,2025-03-01,https://streeteasy.com/building/114_08-89-avenue-richmond_hill/3
Lindenwood,153-21 Sapphire Street,A,11414,1,1,0,2350,0,CONDO,675,f,f,,0.00,2025-03-01,2025-03-01,https://streeteasy.com/building/153_21a-sapphire-street-howard_beach/a
Flushing,40-26 College Point Boulevard,1,11354,1,1,0,2850,0,CONDO,812,f,f,,0.00,2025-02-28,2025-03-01,https://streeteasy.com/building/sky-view-parc/1
Flatbush,645 East 32nd Street,1,11210,2,1,0,2600,0,TWOFAMILY,800,f,f,,0.00,2025-03-01,2025-03-01,https://streeteasy.com/building/645-east-32-street-brooklyn/1
Ditmars-Steinway,20-55 29th Street,2B,11105,2,1,0,2950,0,RENTAL,0,f,f,,0.00,2025-04-01,2025-03-01,https://streeteasy.com/building/20_55-29-street-astoria/2b
Chelsea,213 West 22nd Street,UL,10011,3,2,0,20000,0,TWOFAMILY,0,t,f,,0.00,2025-04-01,2025-03-01,https://streeteasy.com/building/213-west-22-street-new_york/ul
Stuyvesant Heights,441 Hart Street,1,11221,2,1,0,2800,0,MIXED_USE,0,f,t,,0.00,2025-03-01,2025-03-01,https://streeteasy.com/building/1042-broadway-brooklyn/1
Astoria,31-37 43rd Street,1R,11103,2,1,0,2500,0,TWOFAMILY,0,f,f,,0.00,2025-02-28,2025-03-01,https://streeteasy.com/building/31_37-43-street-astoria/1r
Astoria,25-81 44th Street,3E,11103,2,1,0,3000,0,THREEFAMILY,0,f,f,,0.00,2025-03-15,2025-03-01,https://streeteasy.com/building/25_81-44-street-astoria/3e
Astoria,27-31 Crescent Street,B4,11102,1,1,0,2800,0,MIXED_USE,0,f,f,,0.00,2025-03-15,2025-03-01,https://streeteasy.com/building/27_31-crescent-street-astoria/b4
Midtown South,70 West 37th Street,1407,10018,0,1,0,4200,3675,RENTAL,0,f,t,12,1.50,2025-03-01,2025-03-01,https://streeteasy.com/building/hollingsworth-70-west-37th-street-new_york/1407
Maspeth,59-37 60th Street,1A,11378,3,2,0,3495,0,HOUSE,0,f,t,,0.00,2025-03-09,2025-03-01,https://streeteasy.com/building/59_37-60-street-maspeth/1a
Yorkville,226 East 89th Street,3,10128,0,1,0,2800,0,RENTAL,500,f,f,,0.00,2025-03-01,2025-03-01,https://streeteasy.com/building/226-east-89-street-new_york/3
Midtown South,70 West 37th Street,1819,10018,0,1,0,4300,3763,RENTAL,0,f,t,12,1.50,2025-03-01,2025-03-01,https://streeteasy.com/building/hollingsworth-70-west-37th-street-new_york/1819
Kips Bay,151 East 30th Street,1S,10016,2,2,0,4850,0,RENTAL,0,f,f,,0.00,2025-02-28,2025-03-01,https://streeteasy.com/building/151-east-30-street-new_york/1s
Midtown South,70 West 37th Street,504,10018,0,1,0,4175,3653,RENTAL,0,f,t,12,1.50,2025-03-01,2025-03-01,https://streeteasy.com/building/hollingsworth-70-west-37th-street-new_york/504
Manhattan Valley,150 Manhattan Avenue,3C,10025,3,1,0,3700,0,RENTAL,0,f,t,,0.00,2025-03-31,2025-03-01,https://streeteasy.com/building/150-manhattan-avenue-new_york/3c
Fulton/Seaport,15 Cliff Street,0-19D,10038,2,2,0,7340,0,RENTAL,829,f,t,,0.00,2025-03-14,2025-03-01,https://streeteasy.com/building/15-cliff/019d
Tribeca,111 Worth Street,09P,10013,1,1,0,5217,0,RENTAL,652,f,t,,0.00,2025-05-07,2025-03-01,https://streeteasy.com/building/111-worth-tribeca/09p
Flatbush,2709 Clarendon Road,DD1,11226,2,1,0,1999,0,RENTAL,0,f,f,,0.00,2025-02-28,2025-03-01,https://streeteasy.com/building/2709-clarendon-road-brooklyn/dd1
Prospect Lefferts Gardens,1077 Nostrand Avenue,2B,11225,4,2,0,4400,0,MIXED_USE,0,f,t,,0.00,2025-03-01,2025-03-01,https://streeteasy.com/building/1077-nostrand-avenue-brooklyn/2b
Jamaica,148-15 89th Avenue,7I,11435,2,2,0,3600,2925,RENTAL,0,f,t,16,3.00,2025-02-28,2025-03-01,https://streeteasy.com/building/jameco-park/7i
Chelsea,101 West 15th Street,402,10011,0,1,0,5820,0,RENTAL,490,t,t,,0.00,2025-03-31,2025-03-01,https://streeteasy.com/building/101w15-101-west-15th-street-new_york/402
Financial District,123 Washington Street,29F,10006,1,1,0,6240,0,CONDO,647,t,t,,0.00,2025-03-02,2025-03-01,https://streeteasy.com/building/w-downtown-hotel-residences/29f
Lower East Side,7 Rivington Street,4,10002,2,1,0,4560,0,RENTAL,675,t,t,,0.00,2025-03-31,2025-03-01,https://streeteasy.com/building/7-rivington-street-new_york/4
Vinegar Hill,68 Gold Street,3F,11201,2,2,0,4560,0,RENTAL,750,t,t,,0.00,2025-03-02,2025-03-01,https://streeteasy.com/building/casa-dumbo/3f
Yorkville,88 East End Avenue,4D,10028,0,1,0,3510,0,RENTAL,400,t,t,,0.00,2025-03-20,2025-03-01,https://streeteasy.com/building/88-east-end-avenue-new_york/4d
Crown Heights,481 Prospect Place,1B,11238,2,2,1,4200,0,CONDO,1395,f,f,,0.00,2025-03-01,2025-03-01,https://streeteasy.com/building/483-prospect-place-brooklyn/1b
Greenwood,610 5th Avenue,2,11215,1,2,0,3400,0,MIXED_USE,850,f,f,,0.00,2025-04-01,2025-03-01,https://streeteasy.com/building/610-5-avenue-brooklyn/2
Waterfront,88 Regent Street,1402,07302,1,1,0,3620,0,UNKNOWN,571,f,t,,0.00,2023-11-18,2025-03-01,https://streeteasy.com/building/88-regent-street-jersey_city/1402
Flushing,162-14 Booth Memorial Avenue,2,11365,2,1,0,2300,0,TWOFAMILY,880,f,f,,0.00,2025-03-01,2025-03-01,https://streeteasy.com/building/162_14-booth-memorial-ave-fresh_meadows/2
Woodside,46-10 70th Street,1215,11377,0,1,0,2675,2293,RENTAL,0,f,t,14,2.00,2025-03-01,2025-03-01,https://streeteasy.com/building/46_10-70-street-woodside/1215
Murray Hill,144-25 33rd Avenue,4L,11354,2,1,0,2850,0,RENTAL,1100,f,f,,0.00,2025-03-01,2025-03-01,https://streeteasy.com/building/144_25-33-avenue-flushing/4l
Jersey City,13 Mcmartin Court,,07305,3,2,2,3700,0,UNKNOWN,1866,f,f,,0.00,2025-03-01,2025-03-01,https://streeteasy.com/rental/4668655
Ocean Hill,17 Somers Street,5A,11233,1,1,0,2750,2538,RENTAL,0,f,t,13,1.00,2025-03-01,2025-03-01,https://streeteasy.com/building/the-somers/5a
Brooklyn Heights,52 Clark Street,2MN,11201,2,2,0,5792,0,RENTAL,0,f,f,,0.00,2025-03-10,2025-03-01,https://streeteasy.com/building/52-clark-street-brooklyn/2mn
Astoria,21-02 28th Avenue,STORAGE,11102,0,0,0,2500,0,MIXED_USE,650,f,f,,0.00,2025-04-01,2025-03-01,https://streeteasy.com/building/21_02-28-avenue-astoria/storage
Flatbush,2625 Farragut Road,2C,11210,2,1,0,2650,0,RENTAL,0,f,t,,0.00,2025-03-01,2025-03-01,https://streeteasy.com/building/2625-farragut-road-brooklyn/2c
Washington Heights,575 West 175th Street,62,10033,1,1,0,2000,0,RENTAL,0,f,f,,0.00,2025-03-01,2025-03-01,https://streeteasy.com/building/575-west-175th-street--new_york/62
Woodhaven,86-30 98th Street,2M,11421,0,1,0,1500,0,RENTAL,425,f,f,,0.00,2025-03-15,2025-03-01,https://streeteasy.com/building/86_30-98-street-woodhaven/2m
Fulton/Seaport,106 Fulton Street,7A,10038,2,1,0,4500,0,RENTAL,1000,f,t,,0.00,2025-03-01,2025-03-01,https://streeteasy.com/building/106-fulton-street-new_york/7a
Lenox Hill,445 East 77th Street,3N,10075,2,1,0,4500,0,RENTAL,0,f,f,,0.00,2025-03-14,2025-03-01,https://streeteasy.com/building/1453-york-avenue-new_york/3n
Jamaica,147-35 95th Avenue,2109,11435,1,1,0,2350,0,RENTAL,0,f,t,,0.00,2025-03-01,2025-03-01,https://streeteasy.com/building/hillside-tower/2109
Fulton/Seaport,88 Fulton Street,125,10038,1,1,0,3300,0,RENTAL,800,f,t,,0.00,2025-03-01,2025-03-01,https://streeteasy.com/building/88-fulton/125
Crotona Park East,1169 Hoe Avenue,5B,10459,3,1,0,2950,0,TWOFAMILY,0,f,t,,0.00,2025-03-01,2025-03-01,https://streeteasy.com/building/1169-hoe-avenue-bronx/5b
East Village,150 East 7th Street,A5,10009,0,1,0,2575,0,RENTAL,0,f,f,,0.00,2025-03-01,2025-03-01,https://streeteasy.com/building/150-east-7-street-new_york/a5
Newport,35 River Drive South,1906,07310,1,1,0,3120,0,RENTAL,745,f,t,,0.00,2025-04-02,2025-03-01,https://streeteasy.com/building/waterside-square-south-at-newport/1906
West New York,24A Avenue,0518,07093,2,2,0,3546,0,RENTAL,1000,f,t,,0.00,2025-05-09,2025-03-01,https://streeteasy.com/building/riverbend-at-port-imperial/0518
Financial District,70 Pine Street,1618,10005,2,2,0,7677,0,RENTAL,1158,f,t,,0.00,2025-05-04,2025-03-01,https://streeteasy.com/building/70-pine-street/1618
Flatiron,37 West 21st Street,0205,10010,1,1,0,6478,0,RENTAL,694,f,t,,0.00,2025-04-04,2025-03-01,https://streeteasy.com/building/echelon-chelsea/0205
Williamsburg,371 Humboldt Street,208,11211,2,2,0,5709,0,CONDO,0,f,f,,0.00,2025-03-01,2025-03-01,https://streeteasy.com/building/371-humboldt-street-brooklyn/208
Forest Hills,72-38 113rd Street,2K,11375,1,1,0,2500,0,RENTAL,750,f,f,,0.00,2025-03-15,2025-03-01,https://streeteasy.com/building/72_38-113-street-forest_hills/2k
Jackson Heights,37-32 78th Street,2FL,11372,4,2,0,4100,0,TWOFAMILY,0,f,f,,0.00,2025-03-01,2025-03-01,https://streeteasy.com/building/37_32-78-street-jackson_heights/2fl
Financial District,10 Hanover Square,18Z,10005,0,1,0,4086,0,RENTAL,837,f,t,,0.00,2025-03-18,2025-03-01,https://streeteasy.com/building/10-hanover-square-new_york/18z
Financial District,10 Hanover Square,16A,10005,2,2,0,7273,0,RENTAL,1161,f,t,,0.00,2025-03-07,2025-03-01,https://streeteasy.com/building/10-hanover-square-new_york/16a
Forest Hills,77-44 Austin Street,3V,11375,1,1,0,2300,0,RENTAL,700,f,f,,0.00,2025-03-15,2025-03-01,https://streeteasy.com/building/77_54-austin-street-forest_hills/3v
Chelsea,160 West 22nd Street,902,10011,0,1,0,3475,0,RENTAL,0,f,f,,0.00,2025-03-27,2025-03-01,https://streeteasy.com/building/160-west-22-street-new_york/902
Weehawken,227 Dodd Street,3,07086,2,2,0,4799,0,HOUSE,1250,f,f,,0.00,2025-03-01,2025-03-01,https://streeteasy.com/building/227-dodd-street-weehawken/3
Union City,3315 Pleasant Avenue,215,07087,1,1,0,1700,0,CONDO,500,f,f,,0.00,2022-02-13,2025-03-01,https://streeteasy.com/building/3315-pleasant-avenue-union_city/215
Hoboken,321 Bloomfield Street,2,07030,2,2,0,3950,0,CONDO,909,f,f,,0.00,2023-02-23,2025-03-01,https://streeteasy.com/building/321-bloomfield-street-hoboken/2
Cliffside Park,220 Palisade Avenue,2C,07010,1,1,0,1725,0,MULTIFAMILY,0,f,f,,0.00,2024-04-23,2025-03-01,https://streeteasy.com/building/220-palisade-avenue-cliffside_park/2c
The Heights,389 Liberty Avenue,1,07307,3,2,0,1000,0,HOUSE,2500,f,f,,0.00,2024-12-05,2025-03-01,https://streeteasy.com/building/389-liberty-avenue-jersey_city/1
Bergen/Lafayette,543 Martin Luther King Jr Drive,507,07304,1,1,0,2600,0,UNKNOWN,650,f,f,,0.00,2024-08-02,2025-03-01,https://streeteasy.com/building/543-martin-luther-king-jr-drive-jersey_city/507
The Heights,250 North Street,2,07307,2,2,0,2250,0,HOUSE,800,f,f,,0.00,2023-12-18,2025-03-01,https://streeteasy.com/building/250-north-street-jersey_city/2
Bergen/Lafayette,36 Vroom Street,7,07306,2,2,0,3500,0,UNKNOWN,0,f,f,,0.00,2024-05-07,2025-03-01,https://streeteasy.com/building/36-vroom-street-jersey_city/7
McGinley Square,39 Duncan Avenue,2K,07304,1,1,0,2300,0,UNKNOWN,650,f,f,,0.00,2025-03-01,2025-03-01,https://streeteasy.com/building/the-brevard-apartments/2k
Journal Square,605 Pavonia Avenue,,07306,1,1,0,4307,0,RENTAL,1150,f,f,,0.00,2025-03-01,2025-03-01,https://streeteasy.com/rental/4668729
